No.,보관방법,카테고리,품목군,품목코드,품목명,규격,단위,입고,,실사재고,,,사용량,,전산재고,,클레임,,구분,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,수량,금액,수량,단가,금액,수량,금액,수량,금액,수량,금액,,,,,,,,,,,,,,,,,,,,,,,,,,
1,냉동,농산가공품,과채가공품,337777,냉동구운마늘 하프컷 프레시리더스,500G,개,0,0,9.4,"5,600","52,640",0,0,9.4,"52,640.",0,0,정상발주,0,Y,Y,N,N,20250705,412,EA,9.4,52640,41203,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
2,,,두부류,316518,이지쿡 다용도 수입콩두부 풀무원,"1KG, 대두 미국, 캐나다, 중국 등",개,0,0,1.3,"9,500","12,350",0,0,1.3,"12,350.",0,0,정상발주,0,Y,Y,N,N,20250705,412,EA,1.3,12350,41206,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
3,,베러푸즈,베러미트,321617,BF 식물성 베러 패티,"1.264KG, 79G*16±2EA",봉,0,0,1.5,"9,500","14,250",0,0,1.5,"14,250.",0,0,정상발주,0,Y,Y,N,N,20250705,455,BON,1.5,14250,45501,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
4,,베이커리,생지류,239830,모짜치즈볼 동우씨엔에프,28G*50개*6팩,박스,0,0,1.16,"84,000","97,440",0,0,1.16,"97,440.",0,0,정상발주,0,Y,Y,N,N,20250705,404,BOX,1.16,97440,40404,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
5,,,,335279,순쌀도나스 군고구마 해성푸드원,"900G, (29~31EA)",개,3,"31,050",6.1,"10,350","63,135",0.4,"4,140",6.1,"63,135.",0,0,정상발주,0,Y,Y,N,N,20250705,404,EA,6.5,67275,40404,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
6,,수산가공품,기타수산가공품,341733,통살새우볼 동림수산,500G,개,5,"32,500",9,"6,500","58,500",0,0,9.,"58,500.",0,0,정상발주,0,Y,Y,N,N,20250705,415,EA,9,58500,41505,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
7,,,어육가공품,260988,어묵채 정통삼호부산어묵 CJ씨푸드,1KG,봉,2,"10,700",3.5,"5,350","18,725",0.5,"2,675",3.5,"18,725.",0,0,정상발주,0,Y,Y,N,N,20250705,415,BON,4,21400,41501,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
8,,유제품/빙과류,아이스크림류,324865,브랜드 바닐라 아이스 동그린,100ML*30개,박스,1,"29,400",1.03,"29,400","30,282",0.4,"11,760",1.03,"30,282.",0,0,정상발주,0,Y,Y,N,N,20250705,435,BOX,1.43,42042,43501,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
9,,조미료,소스,336087,칠리콘카르네 에쓰푸드,1KG,개,0,0,4.2,"9,570","40,194",0,0,4.2,"40,194.",0,0,정상발주,0,Y,Y,N,N,20250705,403,EA,4.2,40194,40312,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
10,,즉석조리,계육가공,318774,NBB 치킨너겟1KG 타이슨푸드코리아,1kg(봉당 약 53ea),봉,0,0,7,"7,350","51,450",1.3,"9,555",7.,"51,450.",0,0,정상발주,0,Y,Y,N,N,20250705,451,BON,8.3,61005,45105,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
11,,,,320526,NBB 크리스피 치킨런 푸드랠라,"300G*20개, 외국산 닭다리살",박스,0,0,0.7,"55,500","38,850",0,0,0.7,"38,850.",0,0,정상발주,0,Y,Y,N,N,20250705,451,BOX,0.7,38850,45105,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
12,,,,333402,NBB 통통살치킨텐더 타이슨푸드,"2KG, 성형텐더, 계육 브라질산",봉,0,0,2.9,"15,000","43,500",0.1,"1,500",2.9,"43,500.",0,0,정상발주,0,Y,Y,N,N,20250705,451,BON,3,45000,45105,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
13,,,,245269,SF 크리스피 치킨봉 사세,1KG,팩,0,0,4.3,"10,600","45,580",0.6,"6,360",4.3,"45,580.",0,0,정상발주,0,Y,Y,N,N,20250705,451,PAC,4.9,51940,45105,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
14,,,,245268,SF 크리스피 치킨윙 사세,1KG,팩,0,0,6.1,"14,400","87,840",0,0,6.1,"87,840.",0,0,정상발주,0,Y,Y,N,N,20250705,451,PAC,6.1,87840,45105,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
15,,,,337464,SF치킨패티 100 타이슨푸드코리아,"100G*10개*6봉, 스킨레스(SL)",박스,0,0,1.5,"54,420","81,630",0,0,1.5,"81,630.",0,0,정상발주,0,Y,Y,N,N,20250705,451,BOX,1.5,81630,45105,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
16,,,,311929,밸류치킨패티 푸드랠라,85G*15개,봉,3,"31,740",4.3,"10,580","45,494",0.8,"8,464",4.3,"45,494.",0,0,정상발주,0,Y,Y,N,N,20250705,451,BON,5.1,53958,45105,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
17,,,적전패티,339760,NBB미트패티(2.0) 음성공장,68G*30개,봉,10,"158,400",23,"15,840","364,320",8,"126,720",23.,"364,320.",0,0,정상발주,0,Y,Y,N,N,20250705,451,BON,31,491040,45104,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
18,,,,339855,NBB소형미트패티 음성공장,55G*30개,봉,16,"189,600",37,"11,850","438,450",6,"71,100",37.,"438,450.",0,0,정상발주,0,Y,Y,N,N,20250705,451,BON,43,509550,45104,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
19,,,튀김류,246679,DC 해쉬브라운 냉동감자 심플로트,1.270KG,팩,0,0,2,"6,100","12,200",0,0,2.,"12,200.",0,0,정상발주,0,Y,Y,N,N,20250705,451,PAC,2,12200,45106,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
20,,,,338967,NBB 냉동감자 스킨오프 레귤러컷 SIMPLOT,2.27KG*6팩,박스,4,"153,200",5,"38,300","191,500",1.2,"45,960",5.,"191,500.",0,0,정상발주,0,Y,Y,N,N,20250705,451,BOX,6.2,237460,45106,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
21,,,,332213,NBB 치즈스틱 조흥,"1KG, (개당 약 23G*약 43EA~44EA)",개,2,"21,200",5,"10,600","53,000",0,0,5.,"53,000.",0,0,정상발주,0,Y,Y,N,N,20250705,451,EA,5,53000,45106,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
22,,,,310491,브래디드어니언링 맥케인,907G,봉,4,"25,200",6.6,"6,300","41,580",0.8,"5,040",6.6,"41,580.",0,0,정상발주,0,Y,Y,N,N,20250705,451,BON,7.4,46620,45106,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
23,,,,321427,새우패티 갈란다찬,"80G*10개*10팩, 60박스/파렛트",박스,1,"80,000",1.3,"80,000","104,000",0.2,"16,000",1.3,"104,000.",0,0,정상발주,0,Y,Y,N,N,20250705,451,BOX,1.5,120000,45106,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
24,,,,027805,테이스터볼 냉동감자 SIMPLOT,2.270KG,팩,0,0,1,"7,700","7,700",0.5,"3,850",1.,"7,700.",0,0,정상발주,0,Y,Y,N,N,20250705,451,PAC,1.5,11550,45106,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
25,,,,254328,핑거포크 리뉴얼 하늘푸드,1KG,봉,0,0,1.3,"7,550","9,815",1.7,"12,835",1.3,"9,815.",0,0,정상발주,0,Y,Y,N,N,20250705,451,BON,3,22650,45106,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
26,,축산가공품,베이컨,340610,후레쉬 베이컨 에쓰푸드,"500G, 2MM슬라이스",팩,4,"27,600",10,"6,900","69,000",3.2,"22,080",10.,"69,000.",0,0,정상발주,0,Y,Y,N,N,20250705,413,PAC,13.2,91080,41304,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
27,,,알가공품,320067,계란패티 삼진,45G*20개,팩,0,0,6,"5,800","34,800",0,0,6.,"34,800.",0,0,정상발주,0,Y,Y,N,N,20250705,413,PAC,6,34800,41306,10328,NBB 건대점,,01,,03,,,N,,,0000000,윤혜리,
28,냉장,유제품/빙과류,치즈,085862,그라나파다노그레이트,1KG,팩,0,0,2,"21,300","42,600",0,0,2.,"42,600.",0,0,정상발주,0,Y,Y,N,N,20250705,435,PAC,2,42600,43506,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
29,,,,248249,버거 슬라이스치즈 매일유업,12.300G*80개,팩,10,"81,600",14,"8,160","114,240",3,"24,480",14.,"114,240.",0,0,정상발주,0,Y,Y,N,N,20250705,435,PAC,17,138720,43506,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
30,,조미료,소스,250725,N)갈릭샤워크림소스 원일식품,2KG,팩,0,0,1.3,"8,300","10,790",0,0,1.3,"10,790.",0,0,정상발주,0,Y,Y,N,N,20250705,403,PAC,1.3,10790,40312,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
31,,,,321836,NBB 매콤로제소스S 동원홈푸드,2KG,개,0,0,1.7,"12,000","20,400",0,0,1.7,"20,400.",0,0,정상발주,0,Y,Y,N,N,20250705,403,EA,1.7,20400,40312,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
32,,,,339163,NBB뉴머스타드마요소스 음성공장,2KG,팩,0,0,4.9,"9,400","46,060",2,"18,800",4.9,"46,060.",0,0,정상발주,0,Y,Y,N,N,20250705,403,PAC,6.9,64860,40312,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
33,,,,220067,NBB버거소스 음성공장,2KG,팩,2,"18,900",10.1,"9,450","95,445",0.9,"8,505",10.1,"95,445.",0,0,정상발주,0,Y,Y,N,N,20250705,403,PAC,11,103950,40312,10328,NBB 건대점,,01,,02,,,N,,,0000000,윤혜리,
